Post ID,Platform,Post Date,Posting Time,Content Type,Reach,Impressions,Likes,Comments,Shares,Saves,Followers Gained,Engagement Rate
POST00001,Facebook,2024-11-23,20:15,Story,15997,22440,469,5,8,10,3,3.08
POST00002,Instagram,2024-04-24,18:43,Story,8324,11956,258,5,3,4,0,3.24
POST00003,Facebook,2024-10-06,21:02,Image,8045,13485,381,15,3,7,2,5.05
POST00004,Instagram,2024-01-16,19:32,Reel,75054,134020,1560,74,20,27,1,2.24
POST00005,Instagram,2024-11-04,19:45,Video,51837,70428,2576,29,48,39,17,5.19
POST00006,Instagram,2024-11-28,13:14,Reel,27625,53537,604,26,7,10,5,2.34
POST00007,LinkedIn,2024-08-17,00:48,Image,9629,14008,218,5,2,3,1,2.37
POST00008,Facebook,2024-03-22,10:17,Image,11571,18036,437,7,2,8,1,3.92
POST00009,Instagram,2024-03-20,20:06,Image,37802,80099,2409,98,14,41,4,6.78
POST00010,Twitter/X,2024-02-17,20:54,Video,29601,39192,1250,45,18,27,4,4.53
POST00011,Facebook,2024-06-25,01:46,Video,14443,30723,948,30,15,18,5,7.0
POST00012,Facebook,2024-08-23,12:05,Image,25403,60454,888,23,14,12,1,3.69
POST00013,Instagram,2024-10-09,22:56,Video,88424,177879,3336,47,39,47,15,3.92
POST00014,Twitter/X,2024-07-04,22:04,Image,15721,37178,614,8,5,11,5,4.06
POST00015,Twitter/X,2024-01-24,09:05,Image,6530,11379,217,3,2,6,0,3.49
POST00016,Facebook,2024-04-29,12:17,Carousel,20675,31577,1030,22,9,11,6,5.19
POST00017,Facebook,2024-08-20,11:10,Image,27548,45415,1599,59,20,30,9,6.2
POST00018,Facebook,2024-07-08,20:44,Image,21963,47147,923,32,13,19,1,4.49
POST00019,LinkedIn,2024-12-15,19:40,Image,19024,40037,1360,31,11,32,11,7.54
POST00020,Instagram,2024-03-28,07:10,Image,13680,28703,591,28,4,9,1,4.62
POST00021,Twitter/X,2024-08-24,22:14,Carousel,24704,50840,1705,54,22,25,3,7.31
POST00022,Twitter/X,2024-12-16,18:14,Carousel,11421,18738,467,18,8,12,3,4.42
POST00023,Facebook,2024-01-17,12:17,Image,35711,79312,2147,71,22,61,20,6.44
POST00024,Instagram,2024-02-03,22:56,Video,30882,64835,1825,34,28,26,7,6.19
POST00025,LinkedIn,2024-06-10,21:25,Reel,32436,69322,1248,39,15,28,4,4.1
POST00026,Facebook,2024-11-25,08:08,Story,9403,22187,544,22,6,11,2,6.2
POST00027,Instagram,2024-05-06,17:16,Reel,63615,139897,1438,71,17,22,12,2.43
POST00028,LinkedIn,2024-10-26,18:25,Story,6070,10662,473,22,8,7,2,8.4
POST00029,Twitter/X,2024-07-04,19:32,Image,3942,6753,278,13,1,3,1,7.48
POST00030,Facebook,2024-09-09,18:55,Image,19220,44986,1238,46,19,21,4,6.89
POST00031,LinkedIn,2024-02-26,19:50,Carousel,17705,42265,897,26,15,20,6,5.41
POST00032,LinkedIn,2024-12-14,02:24,Carousel,24998,30895,1368,37,20,22,3,5.79
POST00033,Twitter/X,2024-07-14,14:33,Carousel,10907,13639,416,13,4,11,1,4.07
POST00034,Twitter/X,2024-05-08,00:43,Video,2438,3541,108,4,0,1,1,4.63
POST00035,LinkedIn,2024-02-28,17:48,Image,10311,16003,477,6,2,13,4,4.83
POST00036,LinkedIn,2024-05-16,10:07,Video,4005,9571,186,3,1,2,1,4.79
POST00037,Facebook,2024-05-30,14:00,Video,42087,80834,2386,63,20,40,18,5.96
POST00038,Instagram,2024-05-14,05:32,Image,49078,61492,3500,133,42,41,18,7.57
POST00039,Facebook,2024-02-24,09:53,Image,29646,37427,2281,103,20,23,21,8.19
POST00040,Facebook,2024-11-23,06:09,Video,25173,35539,610,21,3,13,5,2.57
POST00041,Facebook,2024-07-10,17:49,Video,49653,67878,3409,145,49,90,23,7.44
POST00042,Instagram,2024-09-28,19:20,Video,46393,61749,978,13,14,11,3,2.19
POST00043,LinkedIn,2024-09-07,20:56,Image,3383,5206,168,6,1,4,0,5.29
POST00044,Facebook,2024-06-06,19:56,Story,24514,47534,1337,52,9,20,8,5.78
POST00045,Twitter/X,2024-10-17,02:46,Video,16955,29801,1102,44,7,30,6,6.98
POST00046,LinkedIn,2024-09-05,17:49,Image,2698,3588,62,2,1,1,0,2.45
POST00047,LinkedIn,2024-03-05,21:35,Video,13623,17822,347,11,4,4,3,2.69
POST00048,LinkedIn,2024-03-25,22:27,Image,32963,81303,2628,32,42,54,19,8.36
POST00049,Twitter/X,2024-04-18,23:44,Reel,27505,55111,716,9,11,8,6,2.7
POST00050,LinkedIn,2024-04-12,12:42,Image,23925,59396,1015,25,17,29,10,4.54
POST00051,LinkedIn,2024-11-28,22:28,Image,30617,55911,1306,49,11,21,6,4.53
POST00052,Instagram,2024-03-02,18:21,Reel,18288,23284,496,7,7,12,3,2.85
POST00053,Twitter/X,2024-01-11,07:37,Video,2369,4470,109,4,2,2,0,4.94
POST00054,Instagram,2024-04-22,18:14,Story,17922,23225,954,46,12,21,6,5.76
POST00055,Facebook,2024-02-04,10:04,Reel,9495,22517,215,4,4,5,1,2.4
POST00056,Facebook,2024-09-20,21:13,Image,55281,91730,3041,39,59,90,22,5.84
POST00057,Facebook,2024-10-03,22:36,Video,70155,108897,1963,25,37,35,12,2.94
POST00058,Twitter/X,2024-08-30,21:51,Image,8573,10581,365,15,7,4,2,4.56
POST00059,Facebook,2024-07-27,18:42,Story,11130,21590,265,3,1,2,0,2.43
POST00060,LinkedIn,2024-08-08,21:29,Video,21585,53868,1151,46,22,31,3,5.79
POST00061,Facebook,2024-01-28,20:06,Image,28140,41348,2045,82,11,31,2,7.71
